N,bio1,bio12,Elevation,SM,ST,RR,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio13,bio14,bio15,bio16,bio17,bio18,bio19
45,22,1546,157,32.87773496,294.6269938,0.0291,79,34,556.7,32.5,9.3,23.2,28.2,15.7,28.2,14.1,270,37,69,783,122,783,148
90,10.1,617,1300,21.54056622,283.8064604,0.1046,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
90,10.1,617,1300,21.54056622,283.8064604,-0.076,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
60,7.2,838,225,21.16443743,281.1511012,-0.0418,100,23,1156.1,26.7,-15.9,42.6,21.3,-8.6,21.3,-8.6,225,10,100,521,32,521,32
75,3.6,564,169,25.16186478,278.7412821,-0.0336,123,22,1467.5,28.1,-25.5,53.6,21.3,-16.6,21.3,-16.6,167,4,104,375,14,375,14
56,8.7,901,286,26.45428612,282.0433669,0.0146,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
56,8.7,901,286,26.45428612,282.0433669,-0.0055,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
56,8.7,901,286,26.45428612,282.0433669,0.0144,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
56,8.7,901,286,26.45428612,282.0433669,0.0217,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
62.1,17.7,1458,41,37.9319547,290.4965297,-0.035,83,25,834.8,34.1,1.7,32.4,21.6,8.9,28.1,6.6,248,45,51,647,169,457,210
90,4.1,534,150,23.75091952,278.9974874,-0.0165,121,22,1447.2,28.3,-24.5,52.8,21.6,-15.8,21.6,-15.8,162,3,108,361,11,361,11
40,13.6,446,710,27.61130678,287.9851626,0.0643,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
40,13.6,446,710,27.61130678,287.9851626,0.0372,110,36,670.4,31.4,0.9,30.5,9.2,22.5,22.5,5.4,57,11,37,157,50,50,133
35,12.6,548,47,15.77523204,286.2374776,-0.0459,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
70,12.6,548,47,15.77523204,286.2374776,-0.0048,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
100,12.6,548,47,15.77523204,286.2374776,-0.058,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
40,12.6,548,47,15.77523204,286.2374776,0.0108,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
80,12.6,548,47,15.77523204,286.2374776,0.0501,121,28,1104.1,32.4,-9.7,42.1,26,-2.5,26,-2.5,201,3,138,431,12,431,12
57,6.9,903,302,26.20316969,280.9097784,-0.0034,99,27,945.8,26.1,-10.5,36.6,17.9,-4.8,18.7,-5.5,91,56,13,259,189,250,196
60,9.1,704,163,28.82355,281.9669756,-0.139,81,31,638.5,23.3,-2.2,25.5,15.7,4.9,17.3,0.9,70,43,12,201,152,190,163
60,9.1,704,163,28.82355,281.9669756,0.0149,81,31,638.5,23.3,-2.2,25.5,15.7,4.9,17.3,0.9,70,43,12,201,152,190,163
60,15,1388,170,24.2621935,288.5725214,-0.0472,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
60,15,1388,170,24.2621935,288.5725214,0.0188,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
60,15,1388,170,24.2621935,288.5725214,-0.0441,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
60,15,1388,170,24.2621935,288.5725214,-0.029,133,37,798.8,32.4,-3,35.4,15,20.8,25,4.3,144,81,18,413,259,295,372
100,22.5,1588,214,26.22167197,295.386803,0.0663,79,35,528.2,32.5,10.4,22.1,28.3,16.7,28.3,15.1,282,32,73,838,109,838,118
100,12.4,549,254,18.22474307,286.9505048,-0.3251,118,29,1027.4,31.1,-8.9,40,25,-1.5,25,-1.5,154,4,109,362,15,362,15
100,12.4,549,254,18.22474307,286.9505048,-0.048,118,29,1027.4,31.1,-8.9,40,25,-1.5,25,-1.5,154,4,109,362,15,362,15
100,12.4,549,254,18.22474307,286.9505048,0.2158,118,29,1027.4,31.1,-8.9,40,25,-1.5,25,-1.5,154,4,109,362,15,362,15
50,2.7,814,1110,26.64049448,276.181876,-0.0157,126,25,1282.1,24.8,-24.2,49,18.1,-15.2,18.1,-15.2,199,10,93,500,35,500,35
50,2.7,814,1110,26.64049448,276.181876,0.1195,126,25,1282.1,24.8,-24.2,49,18.1,-15.2,18.1,-15.2,199,10,93,500,35,500,35
60,-4.6,461,479,25.15039971,271.2969506,0.1502,153,25,1672.1,24.3,-36.5,60.8,15.6,-27.1,15.6,-27.1,116,3,99,295,14,295,14
50,10.9,532,587,25.27433305,286.8107532,0.1023,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
50,10.9,532,587,25.27433305,286.8107532,-0.0706,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
100,10.9,532,587,25.27433305,286.8107532,-0.1425,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
100,10.9,532,587,25.27433305,286.8107532,0.0412,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
50,10.9,532,587,25.27433305,286.8107532,-0.1869,118,29,980.2,29.4,-10,39.4,21.4,-2.6,23,-2.6,129,4,88,313,15,295,15
100,-10.6,264,439,24.31085786,267.7552098,-0.0277,88,17,1514.4,15.8,-35.4,51.2,7.5,-28.8,8.7,-29.3,43,10,47,112,34,107,38
100,-10.6,264,439,24.31085786,267.7552098,-0.0071,88,17,1514.4,15.8,-35.4,51.2,7.5,-28.8,8.7,-29.3,43,10,47,112,34,107,38
50,16.9,1608,564,34.43751698,291.1543158,-0.1052,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
50,16.9,1608,564,34.43751698,291.1543158,-0.0448,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,-0.0659,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,-0.1717,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,0.0414,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
100,16.9,1608,564,34.43751698,291.1543158,-0.0188,81,27,749.9,31.5,1.8,29.7,20.9,8.7,26,6.8,257,45,53,725,161,524,205
35,22.3,1575,79,27.13459351,294.6799011,-0.0319,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0395,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,-0.0207,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,-0.013,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0153,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0041,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0692,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.009,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0346,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.015,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,-0.0106,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0337,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
35,22.3,1575,79,27.13459351,294.6799011,0.0337,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
70,22.3,1575,79,27.13459351,294.6799011,0.0079,79,33,556.1,33.1,9.5,23.6,27.7,16.3,28.6,14.6,260,30,65,712,108,692,129
16,-6.5,316,3594,17.11592697,269.7774193,0.1286,95,23,1149.6,12.9,-28,40.9,6.5,-22.9,6.5,-22.9,73,2,98,202,9,202,9
8,-6.5,316,3594,17.11592697,269.7774193,-0.0201,95,23,1149.6,12.9,-28,40.9,6.5,-22.9,6.5,-22.9,73,2,98,202,9,202,9
100,3.4,254,1484,15.60102127,277.6919585,0.0895,129,26,1282.6,26.6,-22.3,48.9,19.1,-14.1,19.1,-14.1,80,2,109,168,7,168,7
100,3.4,254,1484,15.60102127,277.6919585,0.222,129,26,1282.6,26.6,-22.3,48.9,19.1,-14.1,19.1,-14.1,80,2,109,168,7,168,7
60,7.4,322,1597,17.1114511,282.4588463,-0.0392,128,30,1008,27.3,-14.5,41.8,18.3,-6.4,19.8,-6.4,83,2,92,191,7,179,7
100,6.7,405,432,15.81152244,281.9530407,0.0475,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
50,6.7,405,432,15.81152244,281.9530407,-0.0147,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
100,6.7,405,432,15.81152244,281.9530407,-0.0912,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
50,6.7,405,432,15.81152244,281.9530407,-0.1083,129,28,1220.8,28.5,-17.4,45.9,21.6,-9.7,21.6,-9.7,124,1,114,286,6,286,6
80,6.8,222,825,14.37295487,280.8572562,0.0507,111,22,1334.9,30.3,-18.1,48.4,16,-11.5,22.7,-11.5,31,7,41,85,24,76,24
20,6.8,222,825,14.37295487,280.8572562,0.0162,111,22,1334.9,30.3,-18.1,48.4,16,-11.5,22.7,-11.5,31,7,41,85,24,76,24
5,6.8,222,825,14.37295487,280.8572562,0.035,111,22,1334.9,30.3,-18.1,48.4,16,-11.5,22.7,-11.5,31,7,41,85,24,76,24
100,12.7,588,4,28.06153524,287.9540667,0.0162,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
100,12.7,588,4,28.06153524,287.9540667,0.0199,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
100,12.7,588,4,28.06153524,287.9540667,0.056,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
50,12.7,588,4,28.06153524,287.9540667,0.0184,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
50,12.7,588,4,28.06153524,287.9540667,0.0401,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
50,12.7,588,4,28.06153524,287.9540667,0.006,116,29,1034,31.3,-8.3,39.6,25.4,-1.4,25.4,-1.4,189,6,108,388,22,388,22
36,7.1,169,584,10.83718264,283.3580511,-0.0365,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
36,7.1,169,584,10.83718264,283.3580511,-0.0418,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
36,7.1,169,584,10.83718264,283.3580511,-0.0242,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
18,7.1,169,584,10.83718264,283.3580511,-0.3095,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
18,7.1,169,584,10.83718264,283.3580511,-0.1769,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
18,7.1,169,584,10.83718264,283.3580511,-0.2291,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
72,7.1,169,584,10.83718264,283.3580511,-0.0419,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
72,7.1,169,584,10.83718264,283.3580511,0.0232,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
72,7.1,169,584,10.83718264,283.3580511,-0.028,121,23,1387.6,31.5,-19.1,50.6,21.6,-12.1,23.5,-12.1,22,6,34,62,21,59,21
60,7.9,291,1450,17.032098,283.8850374,-0.0214,130,30,1021.7,28.1,-14.4,42.5,18.9,-6.1,20.5,-6.1,76,2,90,173,7,163,7
80,1.6,387,1361,15.47181561,277.0180635,0.1725,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
10,1.6,387,1361,15.47181561,277.0180635,0.1155,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
20,1.6,387,1361,15.47181561,277.0180635,0.1106,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
40,1.6,387,1361,15.47181561,277.0180635,0.0199,125,26,1283.1,23.9,-23.7,47.6,17,-16.1,17,-16.1,114,2,106,258,9,258,9
100,1.4,405,1383,15.48536423,276.3181167,-0.0436,127,26,1252,23.6,-23.6,47.2,16.5,-15.8,16.5,-15.8,116,2,108,273,9,273,9
100,1.6,395,1323,15.55830079,276.849637,-0.0235,127,26,1259.4,23.9,-23.6,47.5,16.8,-15.8,16.8,-15.8,113,2,109,267,9,267,9
100,0.8,444,1506,16.5673488,274.6949187,0.0498,125,26,1225.2,22.7,-23.6,46.3,15.7,-16,15.7,-16,127,2,105,298,9,298,9
100,0.8,444,1514,16.5673488,274.6949187,0.0089,125,26,1225.2,22.7,-23.6,46.3,15.7,-16,15.7,-16,127,2,105,298,9,298,9
100,12.1,880,387,27.58397538,285.9647362,-0.0089,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0216,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0215,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0048,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0372,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0153,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0296,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0296,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0038,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0295,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0932,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0427,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0574,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.1407,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.1357,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.1165,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0803,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.0422,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0048,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,0.1603,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
100,12.1,880,387,27.58397538,285.9647362,-0.0097,127,30,987.8,32.2,-8.8,41,22.1,-1.2,24.4,-1.2,135,21,49,350,74,323,74
50,12,964,3456,24.33339827,283.4216134,0.0596,116,48,454.5,21.9,-2,23.9,17.3,5.8,17.3,5.8,231,4,99,603,20,603,20
50,12,964,3456,24.33339827,283.4216134,0.0122,116,48,454.5,21.9,-2,23.9,17.3,5.8,17.3,5.8,231,4,99,603,20,603,20
50,12,964,3456,24.33339827,283.4216134,0.0184,116,48,454.5,21.9,-2,23.9,17.3,5.8,17.3,5.8,231,4,99,603,20,603,20
100,18.4,682,411,20.81436988,293.4373401,-0.0538,143,51,505.4,31.5,3.6,27.9,24.4,12.7,24.4,11.5,91,30,36,257,106,257,109
100,8.2,1226,972,32.42340451,279.6155468,-0.0812,75,30,619.1,21.8,-3.2,25,16,1.2,16,0.2,150,74,27,434,223,434,226
100,17.4,331,297,15.71842684,291.6675822,0.1335,139,48,523,33.4,5,28.4,12,22.5,24.1,10.9,59,11,55,153,37,44,148
100,17.9,882,810,24.1156103,290.9570807,-0.1353,127,58,295.1,26.7,5,21.7,21.2,13.9,21.2,13.7,141,14,63,387,54,381,56
100,13.2,921,1666,22.96281079,290.0016712,-0.005,124,55,342.8,22.4,0.2,22.2,16.9,8.4,16.9,8.3,146,13,67,430,52,430,52
100,18.4,934,636,28.30515743,290.9416562,0.0601,107,58,252.7,26.2,7.8,18.4,20.6,15.2,21.5,14.9,150,19,55,388,72,372,74
40,1.7,387,1354,15.47181561,277.0180635,-0.0083,125,26,1280.5,23.9,-23.6,47.5,17,-16,17,-16,114,2,106,259,9,259,9
50,1.7,387,1354,15.47181561,277.0180635,0.0278,125,26,1280.5,23.9,-23.6,47.5,17,-16,17,-16,114,2,106,259,9,259,9
80,1.7,387,1354,15.47181561,277.0180635,-0.2231,125,26,1280.5,23.9,-23.6,47.5,17,-16,17,-16,114,2,106,259,9,259,9
12.5,8,290,1384,16.50700024,283.8891006,0.0373,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
100,8,290,1384,16.50700024,283.8891006,0.0302,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
50,8,290,1384,16.50700024,283.8891006,-0.0921,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
25,8,290,1384,16.50700024,283.8891006,-0.0033,134,30,1048.5,28.7,-14.7,43.4,19.3,-6.3,21,-6.3,79,1,92,174,6,164,6
8,-0.8,265,3482,13.50698421,275.3644017,0.0451,139,35,877.4,17.1,-22,39.1,9.8,-11.6,9.8,-12.6,61,1,98,169,4,169,4
50,10.1,617,1300,21.54056622,283.8064604,0.1019,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
120,10.1,617,1300,21.54056622,283.8064604,-0.0931,98,27,887.1,27.6,-7.8,35.4,19.8,-1.8,21.3,-1.8,121,4,80,342,15,299,15
120,14.5,636,481,21.90755771,285.8240371,-0.0229,99,27,928,32.5,-3.7,36.2,24.6,2.2,26.3,2.2,115,5,74,333,19,285,19
196,8.7,901,286,26.45428612,282.0433669,-0.1407,112,29,964.1,28.4,-9.8,38.2,19.7,-2.8,20.7,-4.2,93,40,23,274,148,273,151
